free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-916.74681047,-916.81688557,-916.77016884,0.0,-6.692171,0.113773,-917.024064,455.58
-916.95031022,-917.02166787,-916.9740961,0.0,-6.829176,0.122664,-917.023921,479.57
-917.15353375,-917.22620829,-917.1777586,0.0,-6.969398,0.124919,-917.023872,504.24
-917.35483123,-917.42886029,-917.37950759,0.0,-7.108916,0.120207,-917.023901,529.22
-917.55269368,-917.62810906,-917.57783214,0.0,-7.243766,0.108904,-917.023991,554.09
-917.74556263,-917.82238078,-917.77116868,0.0,-7.369997,0.092089,-917.024096,578.37
-917.93197952,-918.01017994,-917.95804633,0.0,-7.483755,0.071509,-917.0243,601.55
-918.11056323,-918.19013778,-918.13708808,0.0,-7.581361,0.049463,-917.024526,623.09
-918.27997759,-918.36088309,-918.30694609,0.0,-7.659393,0.028624,-917.024746,642.47
-918.43910405,-918.52129375,-918.46650062,0.0,-7.714775,0.011824,-917.024968,659.18
-918.58705373,-918.67049479,-918.61486742,0.0,-7.744855,0.001782,-917.02517,672.77
-918.72284841,-918.80753958,-918.7510788,0.0,-7.747477,0.000844,-917.025264,682.83
-918.84610966,-918.93208539,-918.87476824,0.0,-7.721041,0.010734,-917.02533,689.12
-918.95652148,-919.04384419,-918.98562905,0.0,-7.664551,0.032356,-917.025223,691.46
-919.05404112,-919.14281215,-919.08363146,0.0,-7.577635,0.065686,-917.024993,689.83
-919.13915266,-919.22949004,-919.16926512,0.0,-7.46055,0.109742,-917.024675,684.36
-919.21235155,-919.30436613,-919.24302308,0.0,-7.314166,0.162675,-917.024199,675.27
-919.27463513,-919.36840956,-919.30589327,0.0,-7.139922,0.221914,-917.023772,662.93
-919.32703887,-919.42260925,-919.35889566,0.0,-6.93978,0.284408,-917.02327,647.76
-919.37086242,-919.46820417,-919.40330967,0.0,-6.716145,0.346884,-917.022834,630.28
-919.4072539,-919.50627474,-919.44026085,0.0,-6.471793,0.406103,-917.022391,610.99
-919.43753288,-919.53807514,-919.47104697,0.0,-6.209786,0.459099,-917.021943,590.44
-919.46335898,-919.56513895,-919.49728563,0.0,-5.933387,0.50337,-917.021514,569.15
-919.48620215,-919.58907026,-919.52049152,0.0,-5.645976,0.53704,-917.021123,547.62
-919.50717585,-919.61076837,-919.54170669,0.0,-5.350972,0.558887,-917.020835,526.24
-919.52749,-919.6314835,-919.5621545,0.0,-5.05177,0.568365,-917.020665,505.41
-919.54853322,-919.65260158,-919.58322267,0.0,-4.751679,0.565578,-917.020641,485.43
-919.57134983,-919.67513308,-919.60594425,0.0,-4.453871,0.551219,-917.020541,466.6
-919.59695655,-919.700203,-919.63137203,0.0,-4.161339,0.526458,-917.020415,449.1
-919.62621875,-919.72866176,-919.66036642,0.0,-3.876863,0.492825,-917.020329,433.08
-919.6598076,-919.76121208,-919.69360909,0.0,-3.602987,0.452094,-917.020282,418.66
-919.69826487,-919.79843036,-919.73165337,0.0,-3.342002,0.406174,-917.020241,405.89
-919.74207821,-919.84083932,-919.77499858,0.0,-3.095939,0.35701,-917.020256,394.82
-919.7915804,-919.88880509,-919.82398863,0.0,-2.866555,0.306489,-917.020216,385.47
-919.84709344,-919.94268022,-919.8789557,0.0,-2.655337,0.256382,-917.020144,377.84
-919.90873522,-920.0026101,-919.94002685,0.0,-2.463498,0.208271,-917.02013,371.91
-919.97641417,-920.0685273,-920.00711854,0.0,-2.29198,0.163508,-917.02007,367.64
-920.05014426,-920.1405306,-920.08027304,0.0,-2.141462,0.123189,-917.020001,365.01
-920.12972081,-920.21824187,-920.15922783,0.0,-2.012363,0.088135,-917.019895,363.97
-920.21485115,-920.30164609,-920.2437828,0.0,-1.904848,0.058887,-917.019788,364.48
-920.30527908,-920.39030297,-920.33362038,0.0,-1.818839,0.035705,-917.019643,366.48
-920.40067047,-920.48396534,-920.42843543,0.0,-1.754015,0.01859,-917.01946,369.94
-920.50059036,-920.58220913,-920.52779661,0.0,-1.709829,0.007292,-917.019297,374.8
-920.60431851,-920.68432897,-920.63098866,0.0,-1.685508,0.001343,-917.019091,380.99
-920.71112723,-920.78961098,-920.73728848,0.0,-1.680071,8.8e-05,-917.018883,388.42
-920.82031783,-920.89736918,-920.84600161,0.0,-1.692337,0.002723,-917.018634,397.03
-920.93124008,-921.00696401,-920.95648139,0.0,-1.720938,0.008344,-917.018416,406.73
-921.04309778,-921.11760681,-921.06793413,0.0,-1.764334,0.015985,-917.018201,417.42
-921.15496603,-921.2284297,-921.17945392,0.0,-1.820828,0.024672,-917.018,428.98
-921.26574636,-921.33824718,-921.2899133,0.0,-1.888585,0.03347,-917.017755,441.27
-921.37435776,-921.44592429,-921.39821327,0.0,-1.965651,0.041532,-917.017544,454.12
-921.4799299,-921.55071183,-921.50352387,0.0,-2.049986,0.048147,-917.017514,467.38
-921.58138286,-921.65144987,-921.60473853,0.0,-2.139485,0.052766,-917.017505,480.85
-921.67764522,-921.74704499,-921.70077848,0.0,-2.232008,0.055037,-917.01751,494.34
-921.76761453,-921.83636835,-921.79053247,0.0,-2.325414,0.054821,-917.017514,507.61
-921.85031215,-921.91841571,-921.87301334,0.0,-2.417595,0.052191,-917.017533,520.44
-921.92481995,-921.99224751,-921.9472958,0.0,-2.506513,0.047422,-917.017554,532.6
-921.99010248,-922.05680228,-922.01233575,0.0,-2.590239,0.040963,-917.017627,543.84
-922.04539382,-922.11128593,-922.06735786,0.0,-2.666987,0.033399,-917.017695,553.93
-922.09015878,-922.15513792,-922.11181849,0.0,-2.735156,0.02539,-917.017753,562.67
-922.12373939,-922.18768028,-922.14505302,0.0,-2.793359,0.017619,-917.017742,569.86
-922.14588924,-922.20865318,-922.16681055,0.0,-2.840453,0.010731,-917.017787,575.37
-922.15630325,-922.21774568,-922.17678406,0.0,-2.875563,0.005271,-917.017816,579.05
-922.15486836,-922.21484802,-922.17486158,0.0,-2.898106,0.001642,-917.01782,580.84
-922.14147622,-922.1998648,-922.16093908,0.0,-2.907796,6.6e-05,-917.017662,580.7
-922.11663564,-922.1733274,-922.13553289,0.0,-2.904657,0.000569,-917.01753,578.65
-922.08077823,-922.13569691,-922.09908446,0.0,-2.889014,0.002986,-917.017377,574.76
-922.0345558,-922.08765753,-922.05225637,0.0,-2.861482,0.006975,-917.017236,569.15
-921.97867447,-922.02995802,-921.99576898,0.0,-2.822954,0.012062,-917.01713,561.96
-921.91382034,-921.96331472,-921.93031846,0.0,-2.774569,0.017684,-917.016946,553.38
